relative_index,rx,ry,rz,vx,vy,vz,is_correct
5687,0.217925,-0.015825000000000002,14.0,-0.04500434229021577,0.0007492398827449893,-0.9989865103266526,True
5688,0.25040833333333334,-0.0007583333333333335,14.0,-0.05049799015526176,-0.00011235646496557954,-0.9987241562945716,True
5689,0.18169166666666667,0.010408333333333334,14.0,-0.039980504581331386,-0.00043715015735474623,-0.9992003643680091,True
5690,0.220175,0.017158333333333334,14.0,-0.04148921571984597,-0.001186476668750852,-0.9991382473171899,True
5691,0.208975,0.005975,14.0,-0.04340902943605209,-0.0007992456512966947,-0.9990570641208685,True
5692,0.186675,-0.011291666666666667,14.0,-0.03991815369741069,0.00046213131629568383,-0.9992028459927624,True
5693,0.18695833333333334,0.0018250000000000002,14.0,-0.03731150123833108,4.996518411301071e-05,-0.9993036822602137,True
5694,0.26590833333333336,0.0002083333333333333,14.0,-0.05009950746486056,-3.7452911248345925e-05,-0.9987442304960051,True
5695,0.20704166666666668,0.016675000000000002,14.0,-0.04025483493060598,-0.0006994324405822876,-0.9991892008318399,True
5696,0.260625,0.005358333333333333,14.0,-0.050311200800813985,-0.0003870092369494426,-0.9987335146563525,True
5697,0.19289166666666666,0.014308333333333334,14.0,-0.039481675458272934,-0.0009117881372880159,-0.9992198786780618,True
5698,0.15562499999999999,0.001125,14.0,-0.032407966464012776,-0.00029984240367629463,-0.999474678920982,True
5699,0.295325,0.014275000000000001,14.0,-0.05894731455594272,-0.0003244348387922319,-0.9982610424376374,True
5700,0.16017499999999998,-0.014391666666666669,14.0,-0.033406339531792055,0.0005122138821521106,-0.9994417212204149,True
5701,0.298325,-0.004475,14.0,-0.060588483718857056,4.9908141448811333e-05,-0.9981628289762283,True
5702,0.199975,0.002225,14.0,-0.038571271966844296,-0.00044966508769637,-0.9992557504363779,True
5703,0.17557499999999995,-0.005408333333333334,14.0,-0.03575212859845879,-3.7476025786497095e-05,-0.9993606875879335,True
5704,0.25442499999999996,-0.01029166666666667,14.0,-0.04799461296565576,0.0007616210694737615,-0.9988473041759803,True
5705,0.25440833333333335,0.0016916666666666666,14.0,-0.047857595784890405,-0.00043699865456294456,-0.9988540732048231,True
5706,0.253875,0.007041666666666667,14.0,-0.047471406385146346,-0.0007616401340463999,-0.9988723068941907,True
5707,0.21777499999999997,-0.007975000000000001,14.0,-0.0446803213246163,0.0007742258027183381,-0.9990010357655968,True
5708,0.1884416666666667,-0.002925,14.0,-0.036388382630037665,-0.0003497681818015959,-0.9993376622902738,True
5709,0.162925,-0.0030083333333333333,14.0,-0.03455435023559694,0.0003622834985120885,-0.9994027544641162,True
