relative_index,rx,ry,rz,vx,vy,vz,is_correct
0,-0.26365833333333333,-0.004175,14.0,-0.051693292000011194,-0.00027463231681747506,0.9986629702453639,True
1,-0.18352500000000002,0.008141666666666667,14.0,-0.03457930725312597,0.00016240281586489216,0.9994019437319598,True
2,-0.262925,0.012725,14.0,-0.05280120206183656,0.0012232902605342827,0.9986042943137002,True
3,-0.16119166666666668,0.009475,14.0,-0.03386805679562515,0.0003747848409501717,0.9994262425337903,True
4,-0.204875,-0.007975000000000001,14.0,-0.039793454888304984,-0.00019984158135997578,0.9992079067998785,True
5,-0.21272500000000003,0.0006250000000000001,14.0,-0.03999297392679924,0.0004746199279257837,0.9991998482648077,True
6,-0.253975,0.023008333333333335,14.0,-0.05237798051788588,0.0009362127118792899,0.9986268926193735,True
7,-0.23834166666666667,-0.02779166666666667,14.0,-0.048580021447094786,-0.0014607716574461553,0.9988182255357403,True
8,-0.19562500000000002,-0.003358333333333333,14.0,-0.03904519985864741,0.0004121854111971738,0.9992373604260327,True
9,-0.28084166666666666,-0.007775000000000001,14.0,-0.05594969829976206,-0.0009235506745410283,0.9984331616659761,True
10,-0.260475,-0.005608333333333333,14.0,-0.04928999720429227,-0.0008614513189647603,0.9987841378782633,True
11,-0.25650833333333334,-0.008491666666666668,14.0,-0.04980062582727751,-0.00038701915024449556,0.9987591040302907,True
12,-0.22249166666666667,-0.019641666666666672,14.0,-0.04396990757333356,-0.0010864475907193783,0.9990322651744663,True
13,-0.23370833333333332,-0.00032500000000000004,14.0,-0.043870219227310665,0.000399614863421852,0.9990371585546297,True
14,-0.182125,-0.007825,14.0,-0.03704954467368237,-0.00019986268198884791,0.9993134099442381,True
15,-0.26005833333333334,-0.014441666666666667,14.0,-0.052066744360104805,-0.0011858884447220057,0.9986429030440945,True
16,-0.267925,-0.014425000000000002,14.0,-0.05150652784375544,-0.0007490042827497126,0.998672376999617,True
17,-0.262225,-0.002758333333333333,14.0,-0.05165594227397087,-0.00026214953789505373,0.9986649062149966,True
18,-0.260125,-0.020925000000000003,14.0,-0.051257493324317824,-0.0012233887836783218,0.9986847213700583,True
19,-0.204975,-0.012141666666666667,14.0,-0.044954502764566244,-0.0004120829420299434,0.9989889503236956,True
20,-0.23667499999999997,-0.007491666666666667,14.0,-0.049987427407037426,-0.00031210931199821804,0.9987497983424093,True
21,-0.171975,0.0031750000000000003,14.0,-0.03273245074119035,-9.994641447691799e-05,0.9994641447691806,True
22,-0.19499166666666667,-0.005675,14.0,-0.03993062598179394,-0.0003247407805669869,0.9992024017445753,True
23,-0.258125,-0.007441666666666666,14.0,-0.05439435136547366,-6.240747059235695e-05,0.9985195294258581,True
24,-0.22174166666666664,-0.008625,14.0,-0.0422996056472449,-0.00022479861281689623,0.9991049458528724,True
25,-0.21317499999999998,0.013075000000000002,14.0,-0.045054197306106714,0.0004994922096020705,0.998984419204141,True
26,-0.23397500000000002,-0.009825,14.0,-0.04664915411062753,-0.00047448283088968114,0.9989112229256442,True
27,-0.22172500000000003,-0.009474999999999999,14.0,-0.042087661317015156,-0.0007743130568708927,0.9991136217688931,True
28,-0.26474166666666665,-0.017108333333333337,14.0,-0.050149305580132995,-0.0007365718244372271,0.998741460344857,True
29,-0.16982499999999998,-0.015158333333333334,14.0,-0.03515325574414985,-0.000462214094741013,0.9993818264150678,True
30,-0.259075,-0.011808333333333336,14.0,-0.05163103787774535,-0.00048684972856302645,0.9986661098209993,True
31,-0.1895083333333333,-0.004441666666666667,14.0,-0.036937275440375325,0.00021235498416203994,0.9993175634343684,True
32,-0.22254166666666667,-0.0029416666666666666,14.0,-0.043695722414326774,0.00038712986193108206,0.99904481079337,True
33,-0.225325,0.003908333333333333,14.0,-0.0431846756858103,1.2488338834024392e-05,0.9990671066699937,True
34,-0.255425,0.013558333333333334,14.0,-0.05083416944896723,0.0009362875021784418,0.9987066689384559,True
35,-0.23162499999999997,-0.005491666666666666,14.0,-0.049987427407037426,-0.00031210931199821804,0.9987497983424093,True
36,-0.28252499999999997,0.011608333333333337,14.0,-0.05285103024165007,0.0002870981803545304,0.9986023663986738,True
37,-0.2602583333333333,-0.012775000000000002,14.0,-0.04942698349222521,-0.001098654848974446,0.9987771354313144,True
38,-0.206525,0.016825,14.0,-0.0418383258231465,0.0006244526242260711,0.9991241987617135,True
39,-0.25159166666666666,0.018125000000000002,14.0,-0.04995005002659952,0.0008988761813867356,0.9987513126519286,True
40,-0.184075,-0.007658333333333334,14.0,-0.03640085988738705,-8.74420107154996e-05,0.999337265268014,True
41,-0.20914166666666667,-0.007124999999999999,14.0,-0.0413520862333218,-0.0007743368608676078,0.9991443366033648,True
42,-0.20837499999999998,-0.0015250000000000003,14.0,-0.04597632848290988,-0.0002497356245676803,0.9989424982707209,True
43,-0.216175,-0.002625,14.0,-0.04443107608634422,-0.0003496543368233942,0.9990123909239836,True
44,-0.2036916666666667,0.014058333333333334,14.0,-0.04252397122417265,0.001161447669992948,0.999094771736213,True
45,-0.21044166666666664,0.015175000000000001,14.0,-0.043371641999892706,0.000574458834405799,0.9990588424448685,True
46,-0.250025,0.0011250000000000001,14.0,-0.047297009072873056,-7.49160650573489e-05,0.9988808674313189,True
47,-0.19705833333333334,0.011675,14.0,-0.03833429093723472,0.0007744301199038525,0.9992646708436804,True
48,-0.158725,-0.009225000000000002,14.0,-0.03323163520807569,-4.9972383771543334e-05,0.999447675430864,True
49,-0.193025,-0.012575000000000003,14.0,-0.03757344828824083,-0.00024982345936330324,0.9992938374532138,True
50,-0.20357499999999998,-0.017975,14.0,-0.04128974544052478,-0.000799317516090007,0.9991468951125083,True
51,-0.19929166666666664,0.009508333333333334,14.0,-0.04075359076298011,0.0010865958901225014,0.9991686364920063,True
52,-0.24402500000000002,-0.004025,14.0,-0.0461756933397306,-2.497333333679313e-05,0.9989333334717226,True
53,-0.20294166666666666,0.017825,14.0,-0.040080260317297,0.0006244976677346986,0.9991962683755181,True
54,-0.21585833333333335,-0.004825,14.0,-0.04434383659450829,0.00017482785477072467,0.9990163129755695,True
55,-0.20424166666666665,0.022591666666666666,14.0,-0.04152660814927468,0.0013863018080422732,0.9991364366206015,True
56,-0.21167499999999997,-0.012325000000000003,14.0,-0.04281066709228921,-0.0014986231187499037,0.9990820791666025,True
57,-0.21767499999999998,-0.019908333333333337,14.0,-0.0415889616592787,-0.0010865584578214522,0.9991342140367429,True
58,-0.15805833333333333,-0.004608333333333333,14.0,-0.03439213713097744,-0.0005371819475322651,0.9994082710980129,True
59,-0.269925,0.012275000000000001,14.0,-0.055837738920176384,0.0005990638060278233,0.998439676713039,True
60,-0.20352500000000004,0.005175,14.0,-0.04054163943007083,0.00029975334144229847,0.999177804807661,True
61,-0.16742500000000002,-0.0025583333333333335,14.0,-0.03353112766069644,-0.0006121554603053603,0.9994374861608377,True
62,-0.2227416666666667,0.012325000000000003,14.0,-0.04648717462676865,0.0007491889544617642,0.9989186059490187,True
63,-0.261925,0.009658333333333335,14.0,-0.05496675860150216,0.0007613470197242753,0.9984878946685134,True
64,-0.15805833333333333,-0.016825000000000003,14.0,-0.03316923044304245,-0.0006996146533761748,0.9994495048231066,True
65,-0.21044166666666667,-0.016425000000000002,14.0,-0.04170117388635272,-0.0009741514114903827,0.9991296528106488,True
66,-0.18859166666666663,0.014475000000000002,14.0,-0.03835924041553731,0.0005995583001791001,0.9992638336318331,True
67,-0.21029166666666665,-0.008641666666666667,14.0,-0.04234947226188861,-8.742150200510523e-05,0.9991028548435943,True
68,-0.17194166666666666,0.0039250000000000005,14.0,-0.03411762529843518,-0.00019988356087388072,0.9994178043694026,True
69,-0.2036916666666667,-0.004925,14.0,-0.03988074568273366,-0.0002997613204935297,0.9992044016450986,True
70,-0.23692499999999997,0.010725,14.0,-0.04390759027185364,0.0010489867983036754,0.9990350460035001,True
71,-0.22450833333333334,0.024225,14.0,-0.04424409828956737,0.001223799501030821,0.9990200008414869,True
72,-0.23827500000000001,-0.009875000000000002,14.0,-0.04884163771630301,-0.00027467178674812567,0.9988064972659113,True
73,-0.18239166666666665,0.008125,14.0,-0.036388382630037665,0.0003497681818015961,0.9993376622902738,True
74,-0.152475,-0.009825,14.0,-0.03280732561077658,-0.0005247173174610187,0.9994615570686074,True
75,-0.20425833333333335,0.016958333333333336,14.0,-0.0412274091207975,0.0006619365920861879,0.9991495696726964,True
76,-0.28155833333333335,0.010141666666666669,14.0,-0.05520318039524187,0.0007114133551555009,0.9984748883999481,True
77,-0.19552500000000003,0.014375,14.0,-0.04086582001066021,0.0008243105503372706,0.9991643034391157,True
78,-0.18560833333333335,0.010841666666666668,14.0,-0.03628857090107335,0.0008119645793766648,0.9993410230424246,True
79,-0.277425,0.019675,14.0,-0.05412054184133182,0.0009236439336389795,0.9985339823124116,True
80,-0.18537499999999998,-0.0020583333333333335,14.0,-0.03500353605440476,0.00011243105799644191,0.9993871821386069,True
81,-0.22230833333333333,0.006458333333333333,14.0,-0.046138310509446806,0.0003371405663369162,0.9989350042117718,True
82,-0.1864583333333333,-0.013508333333333336,14.0,-0.03820956194525154,-0.0008868515541642265,0.999269354513723,True
83,-0.18619166666666667,-0.0027916666666666667,14.0,-0.03603907007625066,-0.0004122319992803394,0.9993502966892129,True
84,-0.23015833333333333,-0.009708333333333334,14.0,-0.045764474469831055,-0.001061386176984554,0.9989516936948873,True
85,-0.19457500000000003,0.005975000000000001,14.0,-0.03809731823536044,0.00047465511244055723,0.999273920927489,True
86,-0.242175,0.025875,14.0,-0.048492833171647654,0.0014233220858825529,0.9988225164088096,True
87,-0.210525,-0.011291666666666667,14.0,-0.04213752533731818,-0.0008617336243112378,0.999111448424853,True
88,-0.2134083333333333,-0.008858333333333334,14.0,-0.04389514726237158,-0.0003871264788487707,0.9990360685079913,True
89,-0.23162499999999997,-0.009708333333333334,14.0,-0.04796971298860197,-8.739926885415484e-05,0.9988487868527242,True
90,-0.273825,0.011058333333333335,14.0,-0.056758349271666786,0.00043679468439126513,0.9983878499853447,True
91,-0.27124166666666666,7.500000000000005e-05,14.0,-0.055028991109095225,4.9924237792005554e-05,0.9984847558401106,True
92,-0.17112499999999997,-0.020591666666666668,14.0,-0.03552753216273263,-0.0011867494921361389,0.9993679933258163,True
