relative_index,rx,ry,rz,vx,vy,vz,is_correct,real_particle
0,0.011475,0.0008916666666666668,5.0,-0.000949999549863856,-0.00021249989932266278,-0.9999995261722119,True,mu
1,0.005808333333333335,0.004625,5.0,-0.001512498222776338,0.00024999970623098655,-0.9999988249239463,True,mu
2,0.0021249999999999997,-0.008725000000000002,5.0,-4.999998187527056e-05,0.0008499996918751682,-0.9999996375001973,True,mu
3,0.007925,0.006124999999999999,5.0,-7.499999451554551e-05,-0.00037499997257812794,-0.999999926875008,True,anti-mu
4,-0.001025,-0.0062250000000000005,5.0,-0.0011749991653837724,-0.00019999985793765123,0.9999992896882568,True,anti-mu
5,0.0034750000000000002,-0.008925,5.0,-0.0012999986865958049,0.0005749994190711931,-0.9999989896890311,True,mu
6,-0.002191666666666667,0.006874999999999999,5.0,-0.0005624998011768684,-0.000624999779052852,0.9999996464845625,True,mu
7,0.004025,-0.0017749999999999999,5.0,-4.999996829679887e-05,0.0011249992866803659,0.9999993659381029,True,mu
8,-0.00032500000000000004,-0.007125,5.0,-2.499999773442063e-05,-0.0004249999614843804,-0.9999999093750124,True,anti-mu
9,0.002625,0.007941666666666668,5.0,-0.00017499996711922705,-0.0005874998896448883,-0.999999812109428,True,mu
10,-0.010575000000000001,0.002225,5.0,-0.0007999994377502204,-0.0008749993850397106,0.9999992971882408,True,anti-mu
11,0.002558333333333333,-0.001325,5.0,-0.0006374998368236489,-0.00032499991679495394,-0.9999997439844736,True,mu
12,0.0028750000000000004,0.0009749999999999998,5.0,-0.0003749997467575871,-0.0010999992571570022,-0.9999993246881838,True,mu
13,-0.001175,-0.007975000000000001,5.0,-0.000974999448516423,0.00042499975960957925,-0.99999943437548,True,mu
14,0.001525,-0.006025,5.0,-0.0004249999531168445,0.0001999999779375037,-0.999999889687518,True,anti-mu
15,-0.002941666666666667,-0.003775,5.0,-0.0008874990378730845,0.0011749987261368375,-0.999998915861138,True,anti-mu
16,-0.001958333333333333,-0.0011250000000000001,5.0,-0.000487499861506244,-0.0005749998366192102,-0.999999715859496,True,mu
17,-0.005024999999999999,-0.00035833333333333333,5.0,-0.00034999996650342247,0.00026249997489160513,-0.9999999042968883,True,anti-mu
18,-0.005091666666666667,-0.009875000000000002,5.0,-0.0003874996801817069,0.0012249989888977366,-0.999999174610397,True,anti-mu
19,0.0019416666666666668,-0.004525,5.0,-0.001162499143353387,0.00034999974206669144,0.9999992630476894,True,mu
20,0.008925,-0.004625,5.0,-0.001149999178828742,0.0003249997679299361,-0.9999992859382646,True,anti-mu
21,0.00017500000000000003,0.005541666666666667,5.0,-0.0008499996779964827,-0.00018749992897953248,-0.9999996211720903,True,mu
22,0.009608333333333333,0.001025,5.0,-0.00041249992767237054,-0.000424999925459004,-0.999999824609421,True,mu
23,0.009958333333333335,-0.006925000000000001,5.0,-0.0010624993989967121,4.999997171486767e-05,-0.999999434297355,True,anti-mu
24,-0.004425,-0.006575,5.0,-0.001424998517111753,-0.00022499976585974043,0.9999989593766243,True,anti-mu
25,0.006724999999999999,0.008625,5.0,-0.0013999984530024265,-0.0004999994475009162,-0.9999988950018315,True,anti-mu
26,0.0033250000000000003,-0.005475000000000001,5.0,-0.0009499994641413159,-0.00047499973207053915,0.9999994359379774,True,anti-mu
27,-0.0037250000000000004,0.005975,5.0,-0.000574999672070753,-0.000899999486719189,-0.9999994296879878,True,mu
28,0.002725,-0.003958333333333334,5.0,-0.0009749993823227052,-0.0005624996436770965,-0.9999993664849769,True,mu
29,0.0053750000000000004,-0.010925000000000002,5.0,-0.0001499999813903141,0.00047499994107032343,-0.9999998759375229,True,anti-mu
30,-0.002925,-0.007458333333333334,5.0,-0.0005749998366191278,0.00048749986150689546,-0.999999715859496,True,anti-mu
31,-0.00037500000000000006,-0.008975000000000002,5.0,-0.00039999994687534024,0.00032499995683594633,-0.9999998671875265,True,mu
32,0.010525,-0.010458333333333335,5.0,-0.0010749992873930745,0.00041249972657937347,-0.9999993371100341,True,mu
33,0.007725,0.003741666666666666,5.0,-0.0012749989635655321,1.2499989839530647e-05,-0.999999187110366,True,mu
34,0.004025000000000001,-0.0031416666666666663,5.0,-0.00029999990491424994,0.0007374997662855928,-0.9999996830470257,True,mu
35,0.014058333333333334,-0.0027749999999999997,5.0,-0.0011374992129631412,0.000299999792414278,-0.9999993080475933,True,anti-mu
