,rx,ry,rz,vx,vy,vz,is_correct
930,0.13602499999999998,-0.01249166666666667,14.0,-0.022993915894414355,0.0005123644302826372,-0.9997354736701761,True
931,0.148725,-0.008791666666666668,14.0,-0.023143789559069827,0.0009122552040496778,-0.9997317304133587,True
932,0.16344166666666665,-0.002625,14.0,-0.028176308470129714,0.0001249503701492868,-0.9996029611942935,True
933,0.10137499999999999,0.005625000000000001,14.0,-0.018047060074470985,0.00017497149656689516,-0.9998371232394021,True
934,0.148575,-0.010375,14.0,-0.023118809366062143,0.0009247523746424887,-0.9997322969107986,True
935,0.17252499999999996,-0.0023750000000000004,14.0,-0.029212525108655026,0.0003998292572613149,-0.999573143153287,True
936,0.099775,0.007825,14.0,-0.01827194490072226,-0.0006748871577558161,-0.9998328263049124,True
937,0.13190833333333332,-0.009008333333333333,14.0,-0.02210708341725336,0.001062239735725068,-0.9997550442531046,True
938,0.14225833333333335,-0.008108333333333334,14.0,-0.02450513091168671,0.0008122557428649679,-0.9996993742118726,True
939,0.10749166666666665,-0.008058333333333334,14.0,-0.020158402765352166,0.0001374720574867467,-0.9997967893023979,True
940,0.12190833333333333,-0.014625,14.0,-0.020658088948415837,0.00039991460757102763,-0.9997865189275686,True
941,0.140125,0.005575,14.0,-0.023793255084907594,-0.0007747803651598079,-0.9997166002062036,True
942,0.09252500000000001,0.008291666666666668,14.0,-0.01802206584526145,-0.0008623596001302164,-0.9998372174902219,True
943,0.13349166666666668,0.023075000000000002,14.0,-0.02273159828581924,-0.0015246041730212216,-0.999740441325391,True
944,0.16654166666666667,-0.007275000000000001,14.0,-0.028126365270116017,0.00044982192344357604,-0.9996042743190572,True
945,0.15125833333333333,0.018825000000000005,14.0,-0.0269277101314046,-0.0012745366279630283,-0.9996365709513947,True
946,0.16044166666666668,-0.008475000000000002,14.0,-0.02620348208325923,0.001149604364107951,-0.9996559687895223,True
947,0.14657499999999998,0.019008333333333335,14.0,-0.02201965205358425,-0.000837296644532893,-0.9997571874499167,True
948,0.11474166666666667,0.014625000000000004,14.0,-0.019158978358104303,-0.0006748759499567956,-0.9998162221582154,True
949,0.11822499999999998,-0.0018583333333333334,14.0,-0.02226947575873096,-0.00011247209979742284,-0.9997519981472698,True
